zhvi_quartile,high_risk_prop,low_risk_prop,medium_risk_prop
Q1 (lowest),0.6267511299072768,0.13315474815050068,0.2400941219422225
Q2,0.7183789161477646,0.0850916079489944,0.196529475903241
Q3,0.7225135719225386,0.07133876588779502,0.20614766218966643
Q4 (highest),0.8069213178669368,0.04863891033554634,0.14443977179751688
